 172Au;6,3 ms;a=100;79;Au
173Au;59 ms;a=100;79;Au
174Au;120 ms;a=?;79;Au
175Au;200 ms;a=94 ;79;Au
176Au;1,08 s;a=?;79;Au
177Au;1,18 s;a=40;79;Au
178Au;2,6 s;b+=60;79;Au
179Au;7,1 s;b+=78,0;79;Au
180Au;8,1 s;b+=98,2;79;Au
181Au;11,4 s;b+=98,7;79;Au
182Au;15,6 s;b+=99,87;79;Au
183Au;42,0 s;b+=99,70;79;Au
184Au;53,0 s;b+=99,978;79;Au
185Au;4,25 min;b+=99,74;79;Au
186Au;10,7 min;b+=100;79;Au
187Au;8,4 min;b+=100;79;Au
188Au;8,84 min;b+=100;79;Au
189Au;28,7 min;b+=100;79;Au
190Au;42,8 min;b+=100;79;Au
191Au;3,18 h;b+=100;79;Au
192Au;4,94 h;b+=100;79;Au
193Au;17,65 h;b+=100;79;Au
194Au;38,02 h;b+=100;79;Au
195Au;186,09 d;K=100;79;Au
196Au;6,183 d;b+=92,80;79;Au
197Au;stabil;0;79;Au
198Au;2,69517 d;b-=100;79;Au
199Au;3,139 d;b-=100;79;Au
200Au;48,4 min;b-=100;79;Au
201Au;26 min;b-=100;79;Au
202Au;28,8 s;b-=100;79;Au
203Au;53 s;b-=100;79;Au
204Au;39,8 s;b-=100;79;Au
205Au;31 s;b-=100;79;Au
175Hg;20 ms;a=100;80;Hg
176Hg;18 ms;a=100;80;Hg
177Hg;0,130 s;a=85;80;Hg
178Hg;266 ms;a=100;80;Hg
179Hg;1,09 s;a=53;80;Hg
180Hg;2,8 s;a=48;80;Hg
181Hg;3,6 s;a=36;80;Hg
182Hg;10,83 s;b+=84,8;80;Hg
183Hg;9,4 s;b+=88,3;80;Hg
184Hg;30,9 s;b+=98,74;80;Hg
185Hg;49,1 s;b+=94;80;Hg
186Hg;1,38 min;b+=99,982;80;Hg
187Hg;2,4 min;b+=100;80;Hg
188Hg;3,25 min;b+=100;80;Hg
189Hg;7,6 min;b+=100;80;Hg
190Hg;20,0 min;b+=100;80;Hg
191Hg;49 min;b+=100;80;Hg
192Hg;4,85 h;K=100;80;Hg
193Hg;3,80 h;b+=100;80;Hg
194Hg;444 a;K=100;80;Hg
195Hg;9,9 h;b+=100;80;Hg
196Hg;stabil;0;80;Hg
197Hg;64,14 h;K=100;80;Hg
198Hg;stabil;0;80;Hg
199Hg;stabil;0;80;Hg
200Hg;stabil;0;80;Hg
201Hg;stabil;0;80;Hg
202Hg;stabil;0;80;Hg
203Hg;46,612 d;b-=100;80;Hg
204Hg;stabil;0;80;Hg
